"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1586809671",42,0,0.00,0.00,14,18,8,72.00,2.00,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1586809673",146,0,23.00,0.00,21,54,8,811.16,2.00,22,27,30,33,39,49,800,810,810,810,810,810
"None","Aggregated","1586809675",186,0,46.67,0.00,24,118,8,973.15,2.00,27,38,210,270,430,680,800,810,970,970,970,970
"None","Aggregated","1586809677",236,0,35.60,0.00,33,175,8,973.15,2.00,38,260,350,390,510,650,790,810,970,970,970,970
"None","Aggregated","1586809679",286,0,31.57,0.00,130,257,8,1293.79,2.00,230,360,500,580,680,790,900,980,1300,1300,1300,1300
"None","Aggregated","1586809681",345,0,30.33,0.00,280,323,8,1293.79,2.00,460,600,670,720,800,820,930,980,1300,1300,1300,1300
"None","Aggregated","1586809683",435,0,31.70,0.00,350,360,8,1293.79,2.00,520,590,670,700,770,810,900,980,1300,1300,1300,1300
"None","Aggregated","1586809685",544,0,29.00,0.00,480,430,8,1293.79,2.00,610,720,750,780,810,900,1000,1100,1300,1300,1300,1300
"None","Aggregated","1586809687",657,0,33.90,0.00,530,494,8,1293.79,2.00,700,770,800,810,960,1000,1200,1300,1300,1300,1300,1300
"None","Aggregated","1586809689",786,0,42.40,0.00,580,526,8,1293.79,2.00,700,770,800,850,960,1000,1100,1300,1300,1300,1300,1300
"None","Aggregated","1586809691",952,0,47.60,0.00,570,524,8,1293.79,2.00,620,750,790,820,940,990,1100,1300,1300,1300,1300,1300
"None","Aggregated","1586809693",1155,0,59.50,0.00,520,508,8,1293.79,2.00,580,650,750,790,920,980,1000,1300,1300,1300,1300,1300
"None","Aggregated","1586809695",1381,0,68.30,0.00,490,465,8,1293.79,2.00,490,590,660,710,840,960,1000,1100,1300,1300,1300,1300
"None","Aggregated","1586809697",1705,0,81.60,0.00,380,408,8,1293.79,2.00,270,470,530,580,710,750,880,940,1000,1100,1100,1100
"None","Aggregated","1586809699",2077,0,100.30,0.00,270,354,8,1293.79,2.00,150,230,340,400,560,660,710,730,850,940,940,940
"None","Aggregated","1586809701",2419,0,125.50,0.00,200,318,8,1293.79,2.00,110,150,200,230,370,600,690,710,770,790,790,790
"None","Aggregated","1586809703",2766,0,142.00,0.00,150,285,8,1293.79,2.00,85,110,150,180,250,330,680,710,770,770,770,770
"None","Aggregated","1586809705",3145,0,160.20,0.00,110,259,8,1293.79,2.00,72,89,100,110,190,250,310,330,370,370,370,370
"None","Aggregated","1586809707",3493,0,174.40,0.00,100,242,8,1293.79,2.00,70,84,95,100,130,200,290,330,370,370,370,370
"None","Aggregated","1586809709",3850,0,178.10,0.00,97,226,8,1293.79,2.00,68,81,91,96,110,130,170,270,370,370,370,370
"None","Aggregated","1586809711",4200,0,177.40,0.00,92,213,8,1293.79,2.00,69,81,90,95,110,120,140,150,180,180,180,180
"None","Aggregated","1586809713",4516,0,176.70,0.00,91,204,8,1293.79,2.00,72,84,94,99,110,120,140,150,180,180,180,180
