"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1587311606",14,0,0.00,0.00,12,21,5,62.00,2882.21,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311608",35,0,0.00,0.00,47,70,5,383.54,3001.60,47,80,120,130,140,180,380,380,380,380,380,380
"None","Aggregated","1587311610",52,0,7.67,0.00,80,117,5,470.55,3031.69,87,140,160,180,270,380,430,470,470,470,470,470
"None","Aggregated","1587311612",77,0,9.20,0.00,140,180,5,563.03,3053.95,140,240,290,320,390,430,470,560,560,560,560,560
"None","Aggregated","1587311614",80,0,8.67,0.00,150,195,5,685.55,3205.25,150,260,320,350,410,470,590,690,690,690,690,690
"None","Aggregated","1587311616",80,0,8.67,0.00,150,195,5,685.55,3205.25,210,290,340,380,420,470,590,690,690,690,690,690
"None","Aggregated","1587311618",80,0,8.67,0.00,150,195,5,685.55,3205.25,290,350,390,410,450,560,690,690,690,690,690,690
"None","Aggregated","1587311620",80,0,8.67,0.00,150,195,5,685.55,3205.25,340,380,410,410,560,590,690,690,690,690,690,690
"None","Aggregated","1587311622",80,0,8.67,0.00,150,195,5,685.55,3205.25,590,590,690,690,690,690,690,690,690,690,690,690
"None","Aggregated","1587311624",80,0,8.67,0.00,150,195,5,685.55,3205.25,590,590,690,690,690,690,690,690,690,690,690,690
"None","Aggregated","1587311626",80,0,8.67,0.00,150,195,5,685.55,3205.25,590,590,690,690,690,690,690,690,690,690,690,690
"None","Aggregated","1587311628",80,0,8.67,0.00,150,195,5,685.55,3205.25,590,590,690,690,690,690,690,690,690,690,690,690
"None","Aggregated","1587311631",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311633",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311635",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311637",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311639",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311641",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311643",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311645",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311647",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311649",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1587311651",80,0,8.67,0.00,150,195,5,685.55,3205.25,0,0,0,0,0,0,0,0,0,0,0,0
