"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/customers",217,0,31,64,3,681,952,0.36,0.00,31,50,70,88,140,230,560,590,680,680,680,680
"GET","/customers/1",217,0,29,49,3,700,932,0.36,0.00,29,45,57,64,110,180,290,340,700,700,700,700
"GET","/features?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",217,0,2100,2256,721,7213,4015,0.36,0.00,2100,2500,2900,3200,3600,4500,5200,6300,7200,7200,7200,7200
"GET","/products/2",217,0,45,64,10,336,10372,0.36,0.00,45,65,79,90,140,190,290,320,340,340,340,340
"GET","/products/2/reports/daily/services/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",434,0,2500,2581,1543,5957,151513,0.71,0.00,2500,2700,2900,2900,3200,3500,4000,4300,6000,6000,6000,6000
"GET","/products?customerId=1",217,0,21,41,3,484,599,0.36,0.00,21,41,51,64,100,120,180,250,480,480,480,480
"GET","/services/3/reports/daily/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",217,0,360,386,167,1128,77695,0.36,0.00,360,390,440,460,560,710,840,920,1100,1100,1100,1100
"GET","/services/3?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",217,0,4100,4294,1258,13377,4659,0.36,0.00,4100,5000,5300,5600,6400,7200,11000,12000,13000,13000,13000,13000
"GET","/services/4/reports/daily/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",217,0,360,394,171,1296,77695,0.36,0.00,360,410,460,480,590,710,900,980,1300,1300,1300,1300
"GET","/services/4?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",217,0,4000,4232,1246,12880,4665,0.36,0.00,4000,4800,5200,5600,6300,7400,8800,9800,13000,13000,13000,13000
"GET","/services?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",217,0,610,703,302,3808,10342,0.36,0.00,610,680,750,790,970,1200,1600,3700,3800,3800,3800,3800
"GET","/sources?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",217,0,190,214,87,1574,6265,0.36,0.00,190,220,250,260,320,400,530,610,1600,1600,1600,1600
"None","Aggregated",2821,0,430,1374,3,13377,38555,4.63,0.00,430,1800,2400,2700,3800,5000,6100,6700,13000,13000,13000,13000
