"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/customers",351,0,7,64,2,1221,953,0.58,0.00,7,16,46,63,150,450,620,830,1200,1200,1200,1200
"GET","/customers/1",351,0,8,31,3,507,933,0.58,0.00,8,12,18,27,92,150,240,430,510,510,510,510
"GET","/features?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",351,0,290,387,171,2094,4016,0.58,0.00,290,360,430,490,730,910,1300,1700,2100,2100,2100,2100
"GET","/products/2",351,0,17,45,9,1122,10375,0.58,0.00,17,22,29,37,100,170,250,580,1100,1100,1100,1100
"GET","/products/2/reports/daily/services/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",702,0,2000,2150,1567,6466,151513,1.16,0.00,2100,2200,2300,2400,2600,2900,3400,3700,6500,6500,6500,6500
"GET","/products?customerId=1",351,0,7,28,3,546,600,0.58,0.00,7,10,15,22,74,120,230,430,550,550,550,550
"GET","/services/3/reports/daily/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",351,0,240,344,159,3031,77695,0.58,0.00,240,320,370,430,660,820,1000,1900,3000,3000,3000,3000
"GET","/services/3?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",351,0,240,376,132,3286,4660,0.58,0.00,240,310,430,480,700,1000,1700,2200,3300,3300,3300,3300
"GET","/services/4/reports/daily/series?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",351,0,240,355,159,2531,77695,0.58,0.00,240,310,350,410,560,840,1700,2000,2500,2500,2500,2500
"GET","/services/4?start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",351,0,250,354,138,2039,4666,0.58,0.00,250,330,410,480,710,1000,1300,1400,2000,2000,2000,2000
"GET","/services?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z&group=",351,0,440,575,293,3493,10344,0.58,0.00,440,560,670,750,950,1100,1600,2000,3500,3500,3500,3500
"GET","/sources?productId=2&start=2020-02-01T19:52:41.727Z&end=2020-04-10T19:52:41.727Z",351,0,140,199,82,1606,6265,0.58,0.00,140,190,220,260,380,510,650,1100,1600,1600,1600,1600
"None","Aggregated",4563,0,220,543,2,6466,38556,7.55,0.00,220,360,530,780,2000,2200,2500,2900,3800,6500,6500,6500
