"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/customers",241,0,11,349,2,8140,352,0.73,0.00,11,17,24,28,68,1700,7100,7700,8100,8100,8100,8100
"POST","/features",1531,4,24,29,2,262,421,4.63,0.01,24,33,38,41,53,65,90,130,220,260,260,260
"PUT","/features/10/indicators/10",188,0,32,36,4,124,0,0.57,0.00,33,42,50,52,66,76,93,100,120,120,120,120
"PUT","/features/10/indicators/11",187,0,31,34,3,121,0,0.56,0.00,31,38,45,49,60,77,94,110,120,120,120,120
"PUT","/features/10/indicators/13",187,0,35,37,5,198,0,0.56,0.00,35,42,48,52,63,69,99,130,200,200,200,200
"PUT","/features/10/indicators/14",186,0,29,34,4,95,0,0.56,0.00,30,39,47,49,62,73,81,92,95,95,95,95
"PUT","/features/10/indicators/15",185,0,36,39,4,179,0,0.56,0.00,36,46,51,55,71,78,130,140,180,180,180,180
"PUT","/features/10/indicators/16",185,0,31,34,2,185,0,0.56,0.00,31,40,45,47,56,65,89,99,190,190,190,190
"PUT","/features/10/indicators/17",185,0,30,35,4,168,0,0.56,0.00,30,39,46,51,59,73,87,150,170,170,170,170
"PUT","/features/10/indicators/18",185,0,30,36,4,142,0,0.56,0.00,30,41,47,52,64,74,97,120,140,140,140,140
"PUT","/features/10/indicators/19",185,0,30,34,4,209,0,0.56,0.00,30,40,43,47,58,70,81,170,210,210,210,210
"PUT","/features/10/indicators/4",189,0,30,32,3,157,0,0.57,0.00,30,36,42,46,53,60,77,97,160,160,160,160
"PUT","/features/11/indicators/10",183,0,33,40,6,185,0,0.55,0.00,33,45,52,54,69,79,130,180,190,190,190,190
"PUT","/features/11/indicators/11",182,0,33,39,4,195,0,0.55,0.00,33,41,46,52,66,81,160,180,200,200,200,200
"PUT","/features/11/indicators/13",178,0,32,36,4,156,0,0.54,0.00,33,40,48,52,60,67,82,94,160,160,160,160
"PUT","/features/11/indicators/14",178,0,33,37,5,188,0,0.54,0.00,33,43,46,49,64,84,91,110,190,190,190,190
"PUT","/features/11/indicators/15",177,0,31,38,6,171,0,0.53,0.00,31,42,51,54,68,78,110,140,170,170,170,170
"PUT","/features/11/indicators/16",173,0,32,37,4,142,0,0.52,0.00,32,42,47,52,69,80,89,100,140,140,140,140
